Cidade;UF;Tabua_mares
Maceió;AL;alagoas/maceio
Macapá;AP;amapa/amapa
Vila Velha;AP;amapa/vila-velha
Salvador;BA;bahia/salvador
Trancoso;BA;bahia/trancoso
Morro de São Paulo;BA;bahia/morro-de-sao-paulo
Porto Seguro;BA;bahia/porto-seguro
Fortaleza;CE;ceara/fortaleza
Porto Canoa;CE;ceara/porto-canoa
Vitória;ES;espirito-santo/vitoria
Vila Velha;ES;espirito-santo/vila-velha
São Luis;MA;maranhao/sao-luis
Barreirinhas;MA;maranhao/barreirinhas
João Pessoa;PB;paraiba/joao-pessoa
Recife;PE;pernambuco/recife
Olinda;PE;pernambuco/olinda
Jaboatão dos Guararapes;PE;pernambuco/jaboatao-dos-guararapes
Barreiros;PE;pernambuco/barreiros
Porto de Galinhas;PE;pernambuco/porto-de-galinhas
Parnaíba;PI;piaui/parnaiba
Paranaguá;PR;parana/paranagua
Rio de Janeiro;RJ;rio-de-janeiro/rio-de-janeiro
Niterói;RJ;rio-de-janeiro/niteroi
Búzios;RJ;rio-de-janeiro/armacao-dos-buzios
Cabo Frio;RJ;rio-de-janeiro/cabo-frio
Angra dos Reis;RJ;rio-de-janeiro/angra-dos-reis
Paraty;RJ;rio-de-janeiro/paraty
Natal;RN;rio-de-janeiro/angra-dos-reis
Praia do Sagi;RN;rio-grande-do-norte/praia-do-sagi
Ponta Negra;RN;rio-grande-do-norte/ponta-negra
Pedra Grande;RN;rio-grande-do-norte/pedra-grande
Florianópolis;SC;santa-catarina/florianopolis
Joinville;SC;santa-catarina/joinville
Aracaju;SE;sergipe/aracaju
Guarujá;SP;so-paulo/guaruja
Santos;SP;so-paulo/santos
Ubatuba;SP;so-paulo/ubatuba
Bertioga;SP;so-paulo/bertioga
Peruíbe;SP;so-paulo/peruibe
Lagoinha;SP;so-paulo/lagoinha
Enseada;SP;so-paulo/enseada
Itanhaém;SP;so-paulo/itanhaem
