cidade;uf;tempo;temperatura;temperatura_max;temperatura_min;nebulosidade;umidade;vento;horario_por_sol;pesca;melhor_horario_pesca;altura_maior_onda;data
Angra dos Reis;RJ;chuvas leves;22;24;22;97;93;12;6:46pm;Mediano;8:11pm - 10:11pm;0.9;30/12/2021
Aracaju;SE;céu parcialmente nublado;27;27;27;21;80;26;5:54pm;Mediano;7:41pm - 9:41pm;2.0;30/12/2021
Arraial do Cabo;RJ;chuvas leves;23;24;23;70;93;28;6:37pm;Mediano;8:01pm - 10:01pm;0.2;30/12/2021
Balneário Camboriu;SC;chuvas leves;23;25;23;100;86;24;7:12pm;Mediano;8:28pm - 10:28pm;0.2;30/12/2021
Barreirinhas;MA;céu nublado;27;28;27;85;80;32;6:00pm;Mediano;8:04pm - 10:04pm;2.4;30/12/2021
Bertioga;SP;chuvas leves;23;24;23;56;88;19;6:55pm;Mediano;8:18pm - 10:18pm;1.2;30/12/2021
Bombinhas;SC;chuvas leves;22;26;22;81;87;25;7:12pm;Mediano;8:28pm - 10:28pm;0.8;30/12/2021
Búzios;RJ;chuvas leves;24;25;24;55;89;36;6:35pm;Mediano;8:00pm - 10:00pm;0.3;30/12/2021
Cabo Frio;RJ;chuvas leves;23;24;23;70;93;28;6:37pm;Mediano;8:01pm - 10:01pm;0.2;30/12/2021
Enseada;SP;chuvas leves;22;24;22;98;92;19;6:49pm;Mediano;8:13pm - 10:13pm;0.9;30/12/2021
Fernando de Noronha;PE;chuvas leves;27;27;27;63;80;27;6:22pm;Mediano;8:23pm - 10:23pm;2.0;30/12/2021
Florianópolis;SC;períodos de chuva ao longo do dia;22;25;22;81;85;26;7:13pm;Mediano;8:28pm - 10:28pm;0.2;30/12/2021
Fortaleza;CE;céu nublado;27;28;27;89;83;24;5:47pm;Mediano;7:48pm - 9:48pm;2.3;30/12/2021
Guarujá;SP;chuvas leves;23;24;23;56;88;19;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
Ilha Bela;SP;chuvas leves;23;24;23;100;85;28;6:52pm;Mediano;8:15pm - 10:15pm;1.2;30/12/2021
Ilhéus;BA;períodos de chuva ao longo do dia;24;27;24;89;89;20;6:08pm;Mediano;7:49pm - 9:49pm;2.0;30/12/2021
Itanhaém;SP;chuvas leves;23;24;23;77;85;22;6:56pm;Mediano;8:19pm - 10:19pm;1.2;30/12/2021
Jaboatão dos Guararapes;PE;céu parcialmente nublado;27;27;27;14;69;26;5:40pm;Mediano;7:32pm - 9:32pm;2.0;30/12/2021
Jijoca de Jericoacoara;CE;chuvas leves;27;28;27;50;81;36;5:55pm;Mediano;7:59pm - 9:59pm;2.4;30/12/2021
João Pessoa;PB;céu parcialmente nublado;27;28;27;58;74;24;5:38pm;Mediano;7:32pm - 9:32pm;2.0;30/12/2021
Lagoinha;SP;períodos de chuva ao longo do dia;22;25;22;81;85;26;7:13pm;Mediano;8:28pm - 10:28pm;0.2;30/12/2021
Lauro de Freitas;BA;períodos de chuva ao longo do dia;27;27;27;83;79;27;6:03pm;Mediano;7:47pm - 9:47pm;2.0;30/12/2021
