Tweet;Modulo;Data
"🤖 A previsão do tempo hoje em Marechal Deodoro (AL) é de céu nublado 𒘁, com uma temperatura média de 27°C.

Horário de maré alta: 6:23am (0.7m).
Horários de maré baixa: 5:13am (0.7m) e 5:33pm (0.7m).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Ubatuba (SP) é de céu nublado, com uma temperatura média de 21°C.

Horário de maré alta: 10:22am (0.8m) e 9:50pm (0.9m).
Horários de maré baixa: 3:33am (0.5m) e 3:49pm (0.5m).


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Itanhaém (SP) é de céu nublado 𒘁, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:52pm - 2:52pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Angra dos Reis (RJ) a previsão do tempo é de céu parcialmente nublado 🌦, com uma temperatura média de 22°C.
A nebulosidade é de 60%, a umidade de 89% e a velocidade do vento de 8 km/h.
Desejamos um bom dia para todos!


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Bom dia a todos! Como vocês estão se sentindo hoje? [1]😀, [2]😴 ou [3]🤬?
Hoje em Lagoinha (SP) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Bombinhas (SC) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 24°C.
O melhor horário para pescar é 1:05pm - 3:05pm! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 A previsão do tempo hoje em Santos (SP) é de céu nublado 𒘁, com uma temperatura média de 24°C.
O melhor horário para pescar é 12:52pm - 2:52pm, mas evitem fazer pesca predatória! 🎣


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Hoje em Lauro de Freitas (BA) a previsão do tempo é de céu parcialmente nublado 🌦, com uma temperatura média de 26°C e altura máxima do mar de aproximadamente 1.7m. Hoje não é um bom dia para pescar! 🐟


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Bom dia a todos! Como vocês estão se sentindo hoje? [1]😀, [2]😴 ou [3]🤬?
Hoje em Búzios (RJ) a previsão do tempo é de períodos de chuva ao longo do dia 🌧, com uma temperatura média de 25°C.


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
"🤖 Bom dia a todos! Como vocês estão se sentindo hoje? [1]😀, [2]😴 ou [3]🤬?
Hoje em Paranaguá (PR) a previsão do tempo é de céu parcialmente nublado 🌦, com uma temperatura média de 25°C.


#AmazôniaAzul 🌅
#redebotsdobem 🛰";tempo;11/01/2022
